,Annual average(鈩?,Annual mean of daily maximum(鈩?,Annual mean of daily minimum(鈩?,Sampling month average(鈩?,Sampling moment(鈩?,Annual(mm),Sampling month(mm),GDP per capita (dollars),City population,Actual Inf rate (m3/d),HRT (hr) Plant,HRT (hr) Aeration tank,SRT (d),BOD:(mg/l):Inf,BOD:inf/(1+recycle ratio),BOD:Aeration tank inf,BOD-Removal rate,COD:(mg/l):Inf,COD:Inf/(1+recycle ratio),COD:Aeration tank inf,COD-Removal rate,NH4-N:(mg/l):Inf,NH4-N:Aeration tank inf,NH4-Removal rate,TN:(mg/l):Inf,TN:Aeration tank inf,TN-Removal rate,TP:(mg/l):Inf,TP:Aeration tank inf,TP-Removal rate,Percentage,MLSS (mg/l),DO (mg/l),pH,Mixed liquid temperature(鈩?,Conductivity (miu S/cm),SVI (ml/g),Proteobacteria,Bacteroidota,Patescibacteria,Unclassified,Firmicutes,Planctomycetota,Verrucomicrobiota,Chloroflexi,Myxococcota,Others,Bdellovibrionota,Actinobacteriota,Acidobacteriota,Desulfobacterota,Dependentiae,Cyanobacteria,Spirochaetota,Nanoarchaeota,Elusimicrobiota,SAR324 clade(Marine group B),Armatimonadota
10,18,28,7,18,10.65714,661,55,14086,4178700,10000,19.23245,9.718041,25,202.1696,116.8853,222.9448,6.525154,969,245.8166,710,0.969040248,89.1,70,0.983164983,148,40.2121,10.25516,15.1,10,0.854304636,0.075,5550,1.2,7.1,20,1285.803279,197.4546,27.234375,31.00390625,4.0234375,2.97265625,1.5390625,5.92578125,2.9140625,3.31640625,3.3203125,5.8203125,1.0078125,0.75390625,6.03515625,0.45703125,0.28515625,0.34375,0.34765625,0.17578125,0.81640625,0.98046875,0.7265625
11,18,28,7,18,10.65714,661,55,14086,4178700,10000,19.23245,9.718041,25,202.1696,116.8853,222.9448,6.525154,969,245.8166,710,0.969040248,89.1,70,0.983164983,148,40.2121,10.25516,15.1,10,0.854304636,0.075,5550,1.2,7.1,20,1285.803279,197.4546,26.1875,31.01953125,4.2890625,3.125,1.57421875,5.66796875,2.94140625,3.6015625,3.25,5.69921875,1.0859375,0.77734375,6.14453125,0.44140625,0.28125,0.39453125,0.3984375,0.16015625,0.8984375,1.3046875,0.7578125
12,18,28,7,18,10.65714,975,70,12884,3796000,3400,19.23245,9.718041,28,473,116.8853,473,0.961310782,697,245.8166,697,0.944045911,18.69,18.69,1,42.18083,40.2121,10.25516,3.87,3.87,0.88372093,0.075,3780,1.33,7.35,22.2,1285.803279,197.4546,25.703125,43.80078125,4.40625,0.5703125,1.22265625,1.328125,2.953125,6.19921875,0.71875,4.91015625,0.85546875,0.7421875,3.88671875,0.82421875,0.140625,0.11328125,0.2890625,0.08203125,0.30078125,0.41796875,0.53515625
13,18,28,7,18,10.65714,975,70,12884,3796000,3400,19.23245,9.718041,28,473,116.8853,473,0.961310782,697,245.8166,697,0.944045911,18.69,18.69,1,42.18083,40.2121,10.25516,3.87,3.87,0.88372093,0.075,3780,1.33,7.35,22.2,1285.803279,197.4546,27.39453125,43.67578125,4.109375,0.51171875,1.0625,1.24609375,2.703125,5.4296875,0.80078125,4.890625,0.890625,0.62890625,4.109375,0.81640625,0.140625,0.12109375,0.2734375,0.05078125,0.2265625,0.34765625,0.5703125
14,18,28,7,18,10.65714,975,70,12884,3796000,3400,19.23245,9.718041,28,473,116.8853,473,0.961310782,697,245.8166,697,0.944045911,18.69,18.69,1,42.18083,40.2121,10.25516,3.87,3.87,0.88372093,0.075,3780,1.24,7.35,22.2,1285.803279,197.4546,26.16015625,44.4765625,4.66015625,0.54296875,1.10546875,1.23046875,2.66796875,5.68359375,0.8203125,4.86328125,0.8125,0.66796875,3.76953125,0.80078125,0.09375,0.12890625,0.26953125,0.04296875,0.23046875,0.38671875,0.5859375
15,18,28,7,18,10.65714,975,70,12884,3796000,3400,19.23245,9.718041,28,473,116.8853,473,0.961310782,697,245.8166,697,0.944045911,18.69,18.69,1,42.18083,40.2121,10.25516,3.87,3.87,0.88372093,0.075,3780,1.24,7.35,22.2,1285.803279,197.4546,24.0859375,46.53515625,4.63671875,0.53125,1.21484375,1.2890625,2.52734375,5.234375,0.67578125,4.98046875,0.95703125,0.7734375,3.984375,0.78515625,0.140625,0.10546875,0.26171875,0.05078125,0.2890625,0.41015625,0.53125
16,18,28,7,18,10.65714,975,70,12884,3796000,3400,19.23245,9.718041,28,473,116.8853,473,0.961310782,697,245.8166,697,0.944045911,18.69,18.69,1,42.18083,40.2121,10.25516,3.87,3.87,0.88372093,0.075,3780,1.1,7.35,22.2,1285.803279,197.4546,21.97265625,49.0703125,5.140625,0.5078125,1.26953125,1.31640625,2.54296875,4.46484375,0.71875,4.796875,0.95703125,0.62109375,3.953125,0.71875,0.1328125,0.109375,0.27734375,0.05078125,0.234375,0.46875,0.67578125
17,18,28,7,18,10.65714,975,70,12884,3796000,3400,19.23245,9.718041,28,473,116.8853,473,0.961310782,697,245.8166,697,0.944045911,18.69,18.69,1,42.18083,40.2121,10.25516,3.87,3.87,0.88372093,0.075,3780,1.1,7.35,22.2,1285.803279,197.4546,21.7421875,50.23046875,5.23828125,0.5390625,1.1328125,1.1484375,2.46484375,3.796875,0.65625,4.71484375,0.9609375,0.63671875,4.12109375,0.8046875,0.140625,0.13671875,0.32421875,0.0703125,0.21875,0.33203125,0.58984375
18,21,29,13,23,10.65714,975,70,12884,3796000,24000,13.5,13.5,25,202.1696,116.8853,222.9448,6.525154,450,225,444.2271,0.877777778,50.87,50.87,0.921368193,42.18083,40.2121,10.25516,4.41,5.0762,0.691609977,0,3464.726266,1.65,7.15,23.18,1285.803279,197.4546,20.61328125,57.03515625,4.09375,0.921875,0.9609375,0.8125,2.3359375,2.375,1.6015625,3.27734375,1.90625,0.37890625,1.5625,0.20703125,0.03515625,0.3046875,0.90234375,0.015625,0.2421875,0.10546875,0.3125
19,21,29,13,23,10.65714,975,70,12884,3796000,24000,13.5,13.5,25,202.1696,116.8853,222.9448,6.525154,450,225,444.2271,0.877777778,50.87,51.87,0.921368193,42.18083,40.2121,10.25516,4.41,5.0762,0.691609977,0,3464.726266,1.65,7.15,23.18,1285.803279,197.4546,21.9765625,55.53125,3.98828125,0.88671875,0.70703125,0.85546875,2.46484375,2.515625,2.09375,2.984375,1.80078125,0.32421875,1.703125,0.23046875,0.02734375,0.33984375,0.8203125,0.015625,0.26171875,0.109375,0.36328125
20,21,29,13,23,10.65714,975,70,12884,3796000,24000,13.5,13.5,25,202.1696,116.8853,222.9448,6.525154,450,225,444.2271,0.877777778,50.87,52.87,0.921368193,42.18083,40.2121,10.25516,4.41,5.0762,0.691609977,0,3464.726266,1.52,7.15,23.18,1285.803279,197.4546,17.28125,59.96875,4.09375,0.86328125,0.8203125,0.77734375,1.8984375,2.93359375,1.23828125,4.078125,1.87890625,0.39453125,1.6015625,0.140625,0.01171875,0.31640625,0.93359375,0.015625,0.2890625,0.140625,0.32421875
21,21,29,13,23,10.65714,975,70,12884,3796000,24000,13.5,13.5,25,202.1696,116.8853,222.9448,6.525154,450,225,444.2271,0.877777778,50.87,53.87,0.921368193,42.18083,40.2121,10.25516,4.41,5.0762,0.691609977,0,3464.726266,1.52,7.15,23.18,1285.803279,197.4546,20.390625,58.87890625,3.5078125,0.74609375,0.75390625,0.8984375,2.17578125,2.3125,1.9609375,2.92578125,1.6875,0.3046875,1.6484375,0.1640625,0.01953125,0.21875,0.71875,0.01953125,0.2734375,0.09375,0.30078125
22,21,29,13,23,10.65714,975,70,12884,3796000,24000,13.5,13.5,25,202.1696,116.8853,222.9448,6.525154,450,225,444.2271,0.877777778,50.87,54.87,0.921368193,42.18083,40.2121,10.25516,4.41,5.0762,0.691609977,0,3464.726266,1.74,7.15,23.18,1285.803279,197.4546,14.7578125,64.71875,4.06640625,0.9296875,0.88671875,0.625,1.84765625,2.11328125,1.19140625,3.32421875,1.72265625,0.30859375,1.33984375,0.1796875,0.0078125,0.35546875,0.91015625,0.01953125,0.1796875,0.171875,0.34375
23,21,29,13,23,10.65714,975,70,12884,3796000,24000,13.5,13.5,25,202.1696,116.8853,222.9448,6.525154,450,225,444.2271,0.877777778,50.87,55.87,0.921368193,42.18083,40.2121,10.25516,4.41,5.0762,0.691609977,0,3464.726266,1.74,7.15,23.18,1285.803279,197.4546,21.6328125,57.484375,3.7890625,0.8828125,0.85546875,0.8125,2.1875,2.03125,1.8359375,2.6875,1.7421875,0.32421875,1.68359375,0.24609375,0.0234375,0.33203125,0.734375,0.015625,0.3203125,0.0859375,0.29296875
24,21,28,5,17,10.65714,697,48,16696,2991600,40000,19.23245,9.718041,11,202.1696,116.8853,222.9448,6.525154,389,182.629108,286,0.902313625,22,28,0.818181818,39,40.2121,10.25516,5,5.6,0.96,0,3464.726266,0.98,6.98,22,1285.803279,197.4546,30.69921875,46.54296875,3.80859375,0.51953125,1.7890625,1.390625,1.42578125,3.43359375,1.44921875,3.34765625,1.140625,0.42578125,1.44140625,0.4296875,0.09765625,0.375,0.33203125,0.01953125,0.44921875,0.484375,0.3984375
25,21,28,5,17,10.65714,697,48,16696,2991600,40000,19.23245,9.718041,11,202.1696,116.8853,222.9448,6.525154,389,182.629108,286,0.902313625,22,28,0.818181818,39,40.2121,10.25516,5,5.6,0.96,0,3464.726266,0.87,6.98,22,1285.803279,197.4546,35.09765625,43.53125,3.21875,0.4609375,1.61328125,1.6328125,1.265625,3.1015625,1.16015625,3.61328125,1.1796875,0.390625,1.3984375,0.3984375,0.08984375,0.3671875,0.31640625,0.01171875,0.30859375,0.4609375,0.3828125
26,21,28,5,17,10.65714,697,48,16696,2991600,40000,19.23245,9.718041,11,202.1696,116.8853,222.9448,6.525154,389,182.629108,286,0.902313625,22,28,0.818181818,39,40.2121,10.25516,5,5.6,0.96,0,3464.726266,0.95,6.98,22,1285.803279,197.4546,35.015625,41.95703125,2.45703125,0.54296875,1.74609375,1.3125,1.66015625,3.19140625,1.66015625,4.03515625,1.54296875,0.5078125,1.79296875,0.52734375,0.08984375,0.41796875,0.484375,0,0.31640625,0.40234375,0.33984375
27,21,28,5,17,10.65714,697,48,16696,2991600,40000,19.23245,9.718041,11,202.1696,116.8853,222.9448,6.525154,389,182.629108,286,0.902313625,22,28,0.818181818,39,40.2121,10.25516,5,5.6,0.96,0,3464.726266,1.1,6.98,22,1285.803279,197.4546,36.37109375,42.07421875,2.19921875,0.5,1.3515625,1.32421875,1.578125,2.65234375,1.59765625,4.45703125,1.4921875,0.44140625,1.6328125,0.55859375,0.08203125,0.359375,0.43359375,0,0.25390625,0.33984375,0.30078125
28,21,28,5,17,10.65714,697,48,16696,2991600,40000,19.23245,9.718041,11,202.1696,116.8853,222.9448,6.525154,389,182.629108,286,0.902313625,22,28,0.818181818,39,40.2121,10.25516,5,5.6,0.96,0,3464.726266,0.97,6.98,22,1285.803279,197.4546,35.203125,42.125,2.8359375,0.8203125,1.55859375,1.51171875,1.55078125,2.5078125,1.63671875,4.12890625,1.40625,0.50390625,1.421875,0.33203125,0.09375,0.4296875,0.48828125,0.01171875,0.7578125,0.48046875,0.1953125
29,21,28,5,17,10.65714,697,48,16696,2991600,40000,19.23245,9.718041,11,202.1696,116.8853,222.9448,6.525154,389,182.629108,286,0.902313625,22,28,0.818181818,39,40.2121,10.25516,5,5.6,0.96,0,3464.726266,1,6.98,22,1285.803279,197.4546,33.0546875,44.3671875,2.9921875,0.87109375,1.42578125,1.6015625,1.47265625,2.3203125,1.828125,3.83203125,1.328125,0.48046875,1.49609375,0.33203125,0.125,0.515625,0.4453125,0.01953125,0.703125,0.51953125,0.26953125
30,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,0.8,7.2,22,1285.803279,197.4546,39.4765625,19.84375,2.04296875,3.0703125,2.015625,4.01953125,2.1484375,3.28515625,8.43359375,4.42578125,0.734375,1.19140625,5.67578125,0.35546875,0.5390625,0.109375,0.4296875,0.06640625,0.94921875,1.03125,0.15625
31,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,0.8,7.2,22,1285.803279,197.4546,36.76171875,20.82421875,2.52734375,3.6875,1.87109375,3.7421875,2.17578125,3.3203125,8.25,5.22265625,0.96875,0.94921875,5.92578125,0.37109375,0.52734375,0.08984375,0.34375,0.07421875,1.109375,1.08203125,0.17578125
32,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,0.97,7.2,22,1285.803279,197.4546,37.640625,20.25,2.59765625,3.75,1.578125,3.890625,2.2109375,3.61328125,7.42578125,5.5,0.86328125,1.05859375,5.953125,0.3984375,0.4609375,0.1015625,0.3046875,0.0546875,1.10546875,1.06640625,0.17578125
33,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,0.97,7.2,22,1285.803279,197.4546,31.5703125,35.23046875,2.44921875,0.9921875,1.578125,2.6015625,2.07421875,3.1328125,8.84375,4,0.99609375,0.8359375,2.8671875,0.36328125,0.65234375,0.14453125,0.65625,0.15625,0.3515625,0.4375,0.06640625
34,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,1.2,7.2,22,1285.803279,197.4546,31.5703125,36.265625,2.44140625,0.921875,1.44921875,2.421875,1.81640625,2.79296875,8.93359375,3.64453125,1.01953125,0.80859375,2.95703125,0.36328125,0.70703125,0.1796875,0.578125,0.16015625,0.37109375,0.51171875,0.0859375
35,21,28,5,17,10.65714,697,48,16696,2991600,56100,19.23245,9.718041,20,202.1696,116.8853,222.9448,6.525154,496,232.8638498,267,0.935483871,23,21,0.973913043,38,40.2121,0.963157895,5,4.5,0.96,0.1,3464.726266,1.2,7.2,22,1285.803279,197.4546,31.21875,39.90234375,2.41796875,0.90234375,1.20703125,2,1.5625,2.703125,6.8984375,3.36328125,0.80078125,0.86328125,3.40234375,0.234375,0.703125,0.1484375,0.48828125,0.125,0.421875,0.58203125,0.0546875
36,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,3794,4.6,6.66,25.8,511,197.4546,32.12109375,32.2265625,2.42578125,0.51953125,1.4375,1.99609375,0.98828125,6.04296875,9.15625,2.40625,1.375,5.4609375,1.53125,1.23828125,0.0859375,0.0234375,0.34765625,0.015625,0.18359375,0.25390625,0.1640625
37,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,3794,4.4,6.66,25.9,556,197.4546,32.11328125,31.03515625,2.921875,0.65234375,1.87890625,2.01171875,1.34375,6.3359375,9.75,2.22265625,1.6328125,4.375,1.15625,1.2890625,0.10546875,0.05859375,0.4375,0.01171875,0.22265625,0.25390625,0.19140625
38,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,3794,1.35,6.7,26.5,520,197.4546,29.84765625,32.4296875,2.94140625,0.734375,1.58203125,2.3359375,1.296875,5.99609375,9.80078125,2.40625,1.6484375,5.22265625,1.33984375,1.3203125,0.140625,0.04296875,0.33984375,0.0234375,0.1953125,0.20703125,0.1484375
39,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,4300,2.1,6.46,26,815,197.4546,36.87109375,26.34375,1.875,0.734375,1.75390625,2.33984375,1.453125,8.33984375,6.95703125,2.45703125,1.765625,4.6171875,2.41796875,0.66796875,0.23046875,0.04296875,0.45703125,0.0078125,0.0859375,0.2890625,0.29296875
40,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,4300,0.2,6.62,25.5,825,197.4546,32.359375,30.9453125,2.6484375,0.7109375,1.69921875,2.29296875,1.50390625,6.734375,7.9296875,2.3984375,1.46875,4.84375,2.08984375,0.8203125,0.29296875,0.02734375,0.5078125,0.015625,0.10546875,0.29296875,0.3125
41,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,4300,0.4,6.57,26.3,823,197.4546,33.56640625,32.50390625,2.2265625,0.7109375,1.45703125,2.0703125,1.44140625,5.6796875,7.5625,2.3046875,1.45703125,4.59765625,1.91015625,0.8359375,0.27734375,0.0390625,0.59375,0.01171875,0.11328125,0.28515625,0.35546875
42,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,7002,0.3,6.45,27,961,197.4546,36.99609375,27.8984375,1.46484375,0.5234375,1.98046875,2.91015625,1.1875,5.171875,6.2734375,2.65625,1.50390625,6.328125,3.29296875,0.19140625,0.234375,0.04296875,0.140625,0.0078125,0.015625,0.23046875,0.94921875
43,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,7002,3.6,6.52,27.2,918,197.4546,36.21875,28.62890625,1.57421875,0.6484375,1.8515625,2.88671875,0.98828125,5.140625,5.66796875,2.3359375,1.2734375,6.22265625,4.63671875,0.1796875,0.2265625,0.04296875,0.10546875,0,0.03515625,0.21875,1.1171875
44,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,19.23245,9.718041,15.25832,202.1696,116.8853,222.9448,6.525154,430.1086,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.1050774,7002,4.3,6.55,27.1,949,197.4546,36.734375,30.07421875,1.66796875,0.62109375,1.48046875,2.484375,1.06640625,4.69140625,6.73828125,2.03515625,1.2421875,4.8125,4.234375,0.1953125,0.32421875,0.02734375,0.12109375,0.0078125,0.0234375,0.26953125,1.1484375
45,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,9.77,7.5,15.25832,280,116.8853,222.9448,0.942857143,550,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.05,9886,1.8,6.44,27.8,952,197.4546,28.08203125,30.05859375,5.4140625,0.65234375,1.33203125,3.375,2.51171875,8.3515625,4.08203125,3.80078125,1.15234375,4.7109375,3.5078125,0.59375,0.0625,0.11328125,0.1953125,0.08984375,0.1953125,0.26953125,1.44921875
46,13.33333333,31.11111111,-7.222222222,28.1,10.65714,610,195,23390,21639100,160102.4,9.77,7.5,15.25832,280,116.8853,222.9448,0.942857143,550,245.8166,444.2271,36.23311,26.64511,20.95466,2.475801,42.18083,40.2121,10.25516,6.274391,5.0762,1.360973,0.05,9886,3.1,6.53,28,949,197.4546,25.5859375,33.625,5.19921875,0.7734375,1.19140625,3.44921875,2.94140625,7.2265625,5.08203125,3.390625,1.46484375,3.375,3.28515625,0.87109375,0.05859375,0.09375,0.24609375,0.15234375,0.22265625,0.24609375,1.51953125
