,Actual Inf rate (m3/d),HRT (hr) Plant,HRT (hr) Aeration tank,SRT (d),MLSS (mg/l),DO (mg/l),pH,Mixed liquid temperature(鈩?,Conductivity (miu S/cm),SVI (ml/g),Gammaproteobacteria,Bacteroidia,Unclassified,Alphaproteobacteria,Others,Clostridia,Anaerolineae,Parcubacteria,Polyangia,Planctomycetes,Verrucomicrobiae,Bdellovibrionia,Chlamydiae,Oligoflexia,Phycisphaerae,Gracilibacteria,Actinobacteria,Bacilli,Microgenomatia,Babeliae,ABY1,Saccharimonadia,Acidimicrobiia,Omnitrophia,Cyanobacteriia,Acidobacteriae,Myxococcia,Nanoarchaeia,Thermoleophilia,Blastocatellia,OM190,Spirochaetia,Nitrospiria,Chloroflexia,Kiritimatiellae,Ignavibacteria,Desulfuromonadia,Campylobacteria,Gemmatimonadetes,Vicinamibacteria,Fimbriimonadia,Vampirivibrionia,Desulfovibrionia,Negativicutes,Holophagae,Leptospirae,metagenome,Kapabacteria,Lineage IIb,Desulfobacteria,Hydrogenedentia
10,10000,19.23245,9.718041,25,5550,1.2,7.1,20,1285.803279,197.4546,22.3046875,27.59765625,5.76953125,4.6796875,3.15625,0.9765625,2.3828125,1.515625,2.828125,3.5703125,1.37109375,0.578125,1.21875,0.4296875,0.875,0.875,0.43359375,0.4765625,0.23046875,0.28515625,0.27734375,0.984375,0.2421875,0.05859375,0.00390625,0.4765625,0.45703125,0.17578125,0.07421875,4.171875,0.90234375,0.02734375,2.67578125,0.55859375,0.23828125,2.90625,0.28515625,0.0703125,0.6328125,0.75,0.63671875,0.21484375,0.05078125,0.0703125,0.29296875,0.31640625,0.28515625,0.359375,0.18359375,0.01171875,0.0546875
11,10000,19.23245,9.718041,25,5550,1.2,7.1,20,1285.803279,197.4546,21.5390625,27.8203125,6.1796875,4.3828125,3.29296875,1.078125,2.6640625,1.69140625,2.78515625,3.30078125,1.36328125,0.5703125,1.23046875,0.515625,0.94921875,0.84765625,0.41015625,0.4296875,0.28515625,0.28125,0.33203125,1.04296875,0.30078125,0.05078125,0.03515625,0.44140625,0.41796875,0.16015625,0.046875,4.4765625,0.765625,0.05078125,2.65625,0.5703125,0.265625,2.70703125,0.2265625,0.0625,0.625,0.69921875,0.6796875,0.24609375,0.0390625,0.0625,0.24609375,0.34375,0.30078125,0.31640625,0.1953125,0,0.01953125
12,3400,19.23245,9.718041,28,3780,1.33,7.35,22.2,1285.803279,197.4546,24.3828125,35.09375,0.91015625,1.31640625,2.07421875,0.91796875,5.91015625,1.74609375,0.55859375,0.9453125,2.34765625,0.7734375,0.171875,0.08203125,0.18359375,1.22265625,0.33203125,0.15625,0.109375,0.140625,0.171875,1.0703125,0.40625,0.16015625,0,0.37890625,0.16015625,0.08203125,0.00390625,2.82421875,0.171875,0.078125,3.1640625,0.05078125,0.2109375,6.90625,0.05078125,0.78125,0.00390625,0.13671875,0.51953125,0.0625,0.21484375,0.14453125,0.5390625,0.0625,0.4453125,1.46875,0.23828125,0.10546875,0.01171875
13,3400,19.23245,9.718041,28,3780,1.33,7.35,22.2,1285.803279,197.4546,25.82421875,34.8515625,0.90234375,1.56640625,2.15234375,0.8125,5.12109375,1.70703125,0.59375,0.7578125,2.1484375,0.75,0.171875,0.140625,0.23828125,1.16015625,0.30859375,0.13671875,0.0859375,0.140625,0.16015625,0.87109375,0.30859375,0.1015625,0.0078125,0.55078125,0.19921875,0.05078125,0.00390625,2.93359375,0.19921875,0.0625,3.06640625,0.08203125,0.21875,7.09375,0.04296875,0.8125,0,0.1328125,0.5546875,0.0625,0.21875,0.11328125,0.46484375,0.05078125,0.3671875,1.41015625,0.1796875,0.09375,0.015625
14,3400,19.23245,9.718041,28,3780,1.24,7.35,22.2,1285.803279,197.4546,24.57421875,35.60546875,0.89453125,1.58203125,2.24609375,0.85546875,5.32421875,1.8828125,0.62109375,0.76953125,2.18359375,0.73046875,0.12109375,0.08203125,0.23828125,1.25390625,0.359375,0.1640625,0.09765625,0.09375,0.171875,1.12890625,0.296875,0.109375,0.01171875,0.3984375,0.1953125,0.04296875,0.0078125,2.65625,0.1875,0.046875,2.8671875,0.0859375,0.22265625,7.09375,0.04296875,0.90234375,0.01953125,0.12890625,0.5703125,0.0546875,0.20703125,0.0859375,0.56640625,0.078125,0.40234375,1.46875,0.1875,0.08203125,0
15,3400,19.23245,9.718041,28,3780,1.24,7.35,22.2,1285.803279,197.4546,22.765625,37.3984375,0.98046875,1.3125,2.1484375,0.9375,4.953125,1.8515625,0.50390625,0.875,2.015625,0.859375,0.125,0.09765625,0.19140625,1.203125,0.3671875,0.16796875,0.12109375,0.140625,0.16015625,1.140625,0.3984375,0.14453125,0.01953125,0.39453125,0.1640625,0.05078125,0.00390625,2.92578125,0.1953125,0.03515625,2.97265625,0.046875,0.19921875,7.39453125,0.046875,0.96484375,0.01171875,0.171875,0.51171875,0.05078125,0.1796875,0.109375,0.48046875,0.09375,0.3671875,1.40234375,0.25,0.0859375,0.01171875
16,3400,19.23245,9.718041,28,3780,1.1,7.35,22.2,1285.803279,197.4546,20.85546875,39.2265625,0.92578125,1.109375,1.9609375,0.92578125,4.20703125,1.9765625,0.5546875,0.8984375,1.96875,0.85546875,0.15625,0.1015625,0.19921875,1.43359375,0.29296875,0.21875,0.1796875,0.1328125,0.1796875,1.23046875,0.32421875,0.1640625,0.00390625,0.3828125,0.16015625,0.05078125,0.00390625,2.97265625,0.17578125,0.05078125,2.82421875,0.0703125,0.20703125,8.078125,0.03125,0.89453125,0.015625,0.09375,0.66796875,0.07421875,0.22265625,0.1171875,0.48828125,0.09765625,0.44921875,1.4765625,0.19140625,0.10546875,0.015625
17,3400,19.23245,9.718041,28,3780,1.1,7.35,22.2,1285.803279,197.4546,20.609375,40.23828125,0.90625,1.1328125,1.97265625,0.8828125,3.59375,2.265625,0.52734375,0.69921875,1.87890625,0.84375,0.16015625,0.1171875,0.1875,1.3203125,0.2890625,0.14453125,0.1640625,0.140625,0.19140625,1.19140625,0.31640625,0.15234375,0.02734375,0.296875,0.125,0.0703125,0.0234375,3.234375,0.19921875,0.03515625,2.68359375,0.0546875,0.18359375,8.265625,0.046875,1.01953125,0.00390625,0.1015625,0.578125,0.0703125,0.23046875,0.09375,0.4765625,0.09375,0.33203125,1.53125,0.17578125,0.109375,0.01171875
18,24000,13.5,13.5,25,3464.726266,1.65,7.15,23.18,1285.803279,197.4546,19.80078125,55.76171875,1.13671875,0.80859375,1.30859375,0.6484375,2.16015625,1.7265625,0.8984375,0.59375,1.9140625,1.828125,0.01953125,0.078125,0.11328125,0.9296875,0.1328125,0.1796875,0.1328125,0.03515625,0.14453125,1.0546875,0.2109375,0.328125,0.0078125,0.13671875,0.67578125,0.015625,0.0234375,1.25,0.05078125,0.0703125,1.36328125,0.12890625,0.02734375,0.64453125,0.05859375,0.67578125,0.02734375,0.046875,0.3125,0.2265625,0.05859375,0.11328125,0.04296875,0.8046875,0.45703125,0.57421875,0.09765625,0.0078125,0.15625
19,24000,13.5,13.5,25,3464.726266,1.65,7.15,23.18,1285.803279,197.4546,21.0546875,54.22265625,1.18359375,0.91015625,1.31640625,0.48046875,2.25390625,1.66015625,1.18359375,0.5859375,2.16015625,1.7265625,0.04296875,0.07421875,0.1484375,0.859375,0.171875,0.1328125,0.11328125,0.02734375,0.15234375,1.03125,0.1328125,0.1640625,0.0234375,0.14453125,0.890625,0.015625,0.00390625,1.296875,0.05078125,0.04296875,1.44140625,0.20703125,0.05078125,0.6328125,0.078125,0.4296875,0.0390625,0.0859375,0.3515625,0.2265625,0.078125,0.0859375,0.03125,0.75,0.44140625,0.59375,0.10546875,0.00390625,0.109375
20,24000,13.5,13.5,25,3464.726266,1.52,7.15,23.18,1285.803279,197.4546,16.3203125,58.4375,1.16796875,0.953125,1.43359375,0.5859375,2.63671875,1.61328125,0.9375,0.59765625,1.53515625,1.76953125,0.03515625,0.109375,0.12109375,1.046875,0.1875,0.1484375,0.14453125,0.01171875,0.15625,0.98828125,0.16796875,0.25,0.02734375,0.15625,0.28125,0.015625,0.0234375,1.26171875,0.03515625,0.02734375,1.921875,0.1640625,0.0625,0.72265625,0.046875,0.75,0.0078125,0.0546875,0.32421875,0.19921875,0.01171875,0.08203125,0.03125,0.89453125,0.609375,0.7578125,0.08984375,0.00390625,0.08203125
21,24000,13.5,13.5,25,3464.726266,1.52,7.15,23.18,1285.803279,197.4546,19.3671875,57.60546875,0.984375,1.0078125,1.21875,0.58203125,2.03515625,1.30078125,1.3203125,0.63671875,1.88671875,1.58984375,0.046875,0.09765625,0.14453125,0.890625,0.16015625,0.08203125,0.09765625,0.01953125,0.14453125,0.94921875,0.1171875,0.171875,0.015625,0.20703125,0.625,0.01953125,0.02734375,1.18359375,0.0625,0.046875,1.28125,0.20703125,0.046875,0.58984375,0.0625,0.46484375,0.02734375,0.08203125,0.296875,0.16015625,0.03125,0.08984375,0.0625,0.66015625,0.4765625,0.609375,0.0703125,0.00390625,0.1328125
22,24000,13.5,13.5,25,3464.726266,1.74,7.15,23.18,1285.803279,197.4546,13.96875,63.23828125,1.2421875,0.77734375,1.16015625,0.6328125,1.88671875,1.68359375,0.8984375,0.5078125,1.39453125,1.66015625,0.05078125,0.0625,0.0625,0.96484375,0.140625,0.14453125,0.1328125,0.0078125,0.19921875,0.9609375,0.125,0.3125,0.03125,0.11328125,0.2421875,0.01953125,0.02734375,1.125,0.02734375,0.02734375,1.63671875,0.10546875,0.046875,0.79296875,0.05859375,0.453125,0.0078125,0.02734375,0.3359375,0.23828125,0.02734375,0.109375,0.03125,0.875,0.55078125,0.66015625,0.0703125,0.015625,0.12890625
23,24000,13.5,13.5,25,3464.726266,1.74,7.15,23.18,1285.803279,197.4546,20.7109375,56.2890625,1.14453125,0.9140625,1.234375,0.61328125,1.8125,1.62109375,1.296875,0.58984375,1.8359375,1.67578125,0.0546875,0.06640625,0.13671875,0.88671875,0.16015625,0.14453125,0.12109375,0.0234375,0.1484375,0.90625,0.12890625,0.23828125,0.01171875,0.19921875,0.53125,0.015625,0.02734375,1.265625,0.03125,0.02734375,1.18359375,0.16015625,0.046875,0.6328125,0.1015625,0.47265625,0.01171875,0.0546875,0.28515625,0.23046875,0.05078125,0.09375,0.06640625,0.69140625,0.39453125,0.5,0.0625,0.0078125,0.08984375
24,40000,19.23245,9.718041,11,3464.726266,0.98,6.98,22,1285.803279,197.4546,27.62109375,43.29296875,1.3359375,2.78515625,1.46484375,1.1796875,3.24609375,1.296875,1.328125,1.125,1.21484375,1.07421875,0.12109375,0.06640625,0.09765625,1.625,0.26953125,0.32421875,0.16796875,0.09765625,0.09765625,0.53515625,0.1328125,0.00390625,0.00390625,0.328125,0.078125,0.01953125,0.015625,0.796875,0.09765625,0.11328125,2.05078125,0.11328125,0.02734375,2.5859375,0.203125,0.328125,0.0546875,0.11328125,0.3828125,0.2265625,0.07421875,0.28515625,0.17578125,0.1953125,0.4453125,0.59765625,0.06640625,0.0078125,0.109375
25,40000,19.23245,9.718041,11,3464.726266,0.87,6.98,22,1285.803279,197.4546,31.9765625,40.12890625,1.26953125,2.8203125,1.24609375,1.12890625,2.97265625,1.12890625,1.0859375,1.27734375,1.11328125,1.1015625,0.07421875,0.078125,0.16015625,1.23828125,0.26953125,0.23046875,0.12109375,0.08984375,0.13671875,0.51953125,0.09765625,0.01171875,0.015625,0.36328125,0.0625,0.01171875,0.0234375,0.72265625,0.0625,0.10546875,2.31640625,0.078125,0.015625,2.625,0.18359375,0.296875,0.0546875,0.07421875,0.375,0.22265625,0.078125,0.25390625,0.2109375,0.1875,0.5078125,0.6953125,0.04296875,0.01953125,0.1171875
26,40000,19.23245,9.718041,11,3464.726266,0.95,6.98,22,1285.803279,197.4546,31.0546875,39.40234375,1.953125,3.09375,1.2109375,1.10546875,3.05859375,0.85546875,1.5390625,1.0078125,1.41796875,1.4375,0.1640625,0.10546875,0.15625,1.0546875,0.2890625,0.234375,0.109375,0.08984375,0.08984375,0.328125,0.1796875,0.00390625,0.015625,0.26171875,0.08984375,0,0.0390625,1.15625,0.078125,0.3125,2.67578125,0.0703125,0.015625,2.1171875,0.1640625,0.328125,0.07421875,0.1171875,0.3359375,0.265625,0.078125,0.40625,0.24609375,0.14453125,0.4921875,0.390625,0.03515625,0.015625,0.1328125
27,40000,19.23245,9.718041,11,3464.726266,1.1,6.98,22,1285.803279,197.4546,32.9765625,39.40234375,1.609375,2.81640625,1.10546875,0.8828125,2.5390625,0.71875,1.46875,1.05078125,1.32421875,1.3359375,0.171875,0.15625,0.125,0.94921875,0.28125,0.203125,0.10546875,0.08203125,0.078125,0.30859375,0.13671875,0,0,0.23828125,0.10546875,0,0.0234375,0.95703125,0.0859375,0.25390625,3.1953125,0.06640625,0.015625,2.19921875,0.16015625,0.25390625,0.0390625,0.125,0.296875,0.25,0.09375,0.265625,0.29296875,0.16796875,0.4609375,0.4296875,0.04296875,0.0234375,0.12890625
28,40000,19.23245,9.718041,11,3464.726266,0.97,6.98,22,1285.803279,197.4546,32.9765625,38.11328125,1.3828125,2.13671875,1.828125,0.98828125,2.3203125,1.18359375,1.44140625,1.08203125,1.33984375,1.2421875,0.07421875,0.1640625,0.1875,0.9765625,0.29296875,0.25390625,0.09765625,0.09375,0.06640625,0.49609375,0.1796875,0.0078125,0.00390625,0.33984375,0.16796875,0.01171875,0.02734375,0.78515625,0.15234375,0.14453125,2.49609375,0.1015625,0.03125,3.60546875,0.19140625,0.44140625,0.0703125,0.08203125,0.19140625,0.24609375,0.046875,0.30859375,0.2109375,0.328125,0.54296875,0.3671875,0.046875,0.03515625,0.09765625
29,40000,19.23245,9.718041,11,3464.726266,1,6.98,22,1285.803279,197.4546,30.64453125,40.08984375,1.37890625,2.3515625,1.7265625,0.8671875,2.15234375,1.0625,1.6328125,1.1171875,1.2890625,1.09375,0.0859375,0.234375,0.23046875,1.12890625,0.25390625,0.2265625,0.125,0.125,0.10546875,0.53515625,0.1875,0.015625,0.015625,0.29296875,0.1640625,0.01953125,0.03515625,0.86328125,0.16015625,0.17578125,2.3984375,0.078125,0.04296875,3.7734375,0.15234375,0.2421875,0.08203125,0.09375,0.26171875,0.34375,0.08984375,0.328125,0.234375,0.25390625,0.57421875,0.46875,0.07421875,0.04296875,0.078125
30,56100,19.23245,9.718041,20,3464.726266,0.8,7.2,22,1285.803279,197.4546,33.390625,17.32421875,4.1328125,5.86328125,3.53515625,1.33984375,2.80078125,1.0625,7.5390625,2.62890625,1.4609375,0.48046875,0.578125,0.25390625,0.4609375,0.35546875,0.83984375,0.48828125,0.25,0.5390625,0.09375,0.26171875,0.21484375,0.046875,0.01953125,0.44140625,0.875,0.06640625,0.12109375,2.44140625,0.70703125,0.07421875,3.55078125,0.0234375,0.05859375,1.6640625,0.0546875,0.01953125,0.0625,1.0078125,0.14453125,0.0625,0.02734375,0.1875,0.828125,0.33984375,0.8125,0.20703125,0.15625,0,0.10546875
31,56100,19.23245,9.718041,20,3464.726266,0.8,7.2,22,1285.803279,197.4546,31.58984375,18.046875,4.765625,4.8984375,3.3046875,1.3984375,2.9453125,1.4296875,7.4453125,2.5859375,1.4375,0.66015625,0.60546875,0.30859375,0.36328125,0.35546875,0.73046875,0.3046875,0.27734375,0.52734375,0.12109375,0.328125,0.16796875,0.078125,0.01953125,0.44921875,0.77734375,0.07421875,0.03515625,3.078125,0.67578125,0.0703125,4.38671875,0.0078125,0.046875,1.9140625,0.04296875,0.015625,0.0390625,0.8671875,0.1640625,0.046875,0.03515625,0.1640625,0.80859375,0.2734375,0.83984375,0.23046875,0.16015625,0.0078125,0.09375
32,56100,19.23245,9.718041,20,3464.726266,0.97,7.2,22,1285.803279,197.4546,32.66015625,17.6015625,4.8828125,4.734375,3.5234375,1.203125,3.08984375,1.375,6.67578125,2.79296875,1.44140625,0.625,0.6796875,0.23828125,0.4609375,0.41796875,0.8515625,0.19921875,0.28125,0.4609375,0.14453125,0.34765625,0.17578125,0.02734375,0.01171875,0.3828125,0.73828125,0.0546875,0.01171875,3.03515625,0.51171875,0.0546875,4.6640625,0.01171875,0.05859375,1.76953125,0.0703125,0.02734375,0.05078125,0.96875,0.1640625,0.04296875,0.0390625,0.17578125,0.74609375,0.25,0.7734375,0.21484375,0.1484375,0.00390625,0.12890625
33,56100,19.23245,9.718041,20,3464.726266,0.97,7.2,22,1285.803279,197.4546,27.3671875,33.52734375,1.5,4.1171875,2.76953125,1.11328125,2.859375,1.33984375,7.96484375,2.0234375,1.05078125,0.73828125,0.91015625,0.2578125,0.2109375,0.1328125,0.58203125,0.2578125,0.1953125,0.65234375,0.140625,0.61328125,0.14453125,0.05859375,0.00390625,0.3984375,0.6875,0.15625,0.1015625,0.75390625,0.25,0.046875,2.45703125,0.015625,0.046875,1.015625,0.0546875,0.0859375,0.0859375,0.515625,0.06640625,0.0859375,0.046875,0.20703125,0.7265625,0.5859375,0.546875,0.33984375,0.1171875,0.00390625,0.0703125
34,56100,19.23245,9.718041,20,3464.726266,1.2,7.2,22,1285.803279,197.4546,27.37109375,34.65234375,1.421875,4.1328125,2.6875,1.05859375,2.51171875,1.30078125,8.05859375,1.78125,1.03125,0.81640625,0.70703125,0.203125,0.27734375,0.18359375,0.5859375,0.21875,0.2421875,0.70703125,0.1171875,0.5625,0.140625,0.046875,0.01171875,0.3046875,0.70703125,0.16015625,0.05859375,0.9375,0.21875,0.04296875,2.20703125,0.01953125,0.02734375,0.94921875,0.09765625,0.078125,0.05859375,0.5,0.078125,0.11328125,0.05078125,0.171875,0.76953125,0.52734375,0.62109375,0.296875,0.12890625,0,0.046875
35,56100,19.23245,9.718041,20,3464.726266,1.2,7.2,22,1285.803279,197.4546,26.96484375,38.16796875,1.40234375,4.18359375,2.85546875,0.91015625,2.49609375,1.18359375,6.1484375,1.31640625,0.85546875,0.64453125,0.5703125,0.15625,0.2890625,0.17578125,0.625,0.1953125,0.2734375,0.703125,0.12109375,0.625,0.15234375,0.0703125,0.01171875,0.234375,0.6171875,0.125,0.0859375,0.94921875,0.27734375,0.04296875,2.01953125,0.0078125,0.05859375,1.13671875,0.0546875,0.03515625,0.08984375,0.7109375,0.05078125,0.09375,0.0078125,0.1015625,0.8359375,0.4296875,0.56640625,0.19921875,0.1328125,0,0.0390625
36,160102.4,19.23245,9.718041,15.25832,3794,4.6,6.66,25.8,511,197.4546,26.01171875,30.45703125,1.37109375,5.9375,2.1796875,1.1171875,4.703125,1.4375,8.50390625,1.3046875,0.58203125,1.04296875,0.26171875,0.33203125,0.30859375,0.26953125,3.14453125,0.26171875,0.078125,0.0859375,0.06640625,0.55859375,1.92578125,0.01953125,0.0078125,0.20703125,0.578125,0.015625,0.37109375,0.625,0.28125,0.046875,0.62890625,0.07421875,0.05078125,0.8984375,1.0078125,0.14453125,0.703125,0.453125,0.1640625,0.00390625,0.03125,0.04296875,0.05859375,0.30078125,0.2734375,0.84375,0.015625,0.0546875,0.15625
37,160102.4,19.23245,9.718041,15.25832,3794,4.4,6.66,25.9,556,197.4546,26.34375,29.61328125,1.6015625,5.49609375,1.921875,1.48828125,5.3671875,1.515625,9.03125,1.30859375,0.82421875,1.24609375,0.30859375,0.38671875,0.30859375,0.38671875,2.5625,0.30859375,0.08984375,0.10546875,0.1171875,0.78515625,1.55078125,0.02734375,0.0234375,0.23828125,0.6015625,0.01171875,0.234375,0.4609375,0.24609375,0.03515625,0.6796875,0.08203125,0.0703125,0.61328125,1.08984375,0.0859375,0.546875,0.29296875,0.1796875,0.02734375,0.0390625,0.0703125,0.0390625,0.390625,0.25,0.7734375,0.01171875,0.06640625,0.14453125
